ID,Moisture,Plant_species_richness,moisture,organic_matter,Plant_biomass,Bacterial_Chao,Bacterial_OUT_richness,Fungal_Chao 1,Fungal_OUT_richness
1,Ambient,1,0.104916667,9.3932,33.18,4299.24359,2890,1104.8,758
2,Ambient,1,0.112166667,8.5049,36.4,4428.006329,2953,1190.222222,680
3,Ambient,1,0.109833333,12.0931,39.1826,4622.4862,3090,933.183908,598
4,Ambient,1,0.067916667,10.9689,91.3226,4346.332703,3058,1088.863014,569
5,Ambient,1,0.105,14.5731,110.05,4628.141509,2954,821.7590361,542
6,Ambient,1,0.096583333,10.7249,16.09,4262.15678,2944,1243.887755,752
7,Ambient,1,0.094833333,4.9675,43.2964,4160.682635,2952,802.1111111,581
8,Ambient,1,0.080916667,11.7634,94.3047,4501.116034,3046,989.6162791,589
9,Ambient,1,0.099083333,8.7122,29.1574,4634.484127,3188,932.1538462,601
10,Ambient,1,0.09925,5.9583,9.08,4866.625,3184,1234.772059,816
11,Ambient,1,0.12775,3.731,44.28,4622.646067,3198,1056.181818,717
12,Ambient,1,0.10175,10.6459,98.96,3749.306905,2594,788.1298701,550
13,Ambient,2,0.106,13.7594,34.68,4243.125571,2848,1014.329787,628
14,Ambient,2,0.08385,15.7136,77.15,4491.673611,2949,889.0106383,599
15,Ambient,2,0.12325,12.8541,127.8712351,3731.280347,2472,794.2727273,528
16,Ambient,2,0.092083333,11.5891,21.0514,4452.795132,3101,922.2236842,548
17,Ambient,2,0.098916667,12.2563,118.7046,4474.936345,3049,955.25,537
18,Ambient,2,0.120833333,14.4089,93.02151394,3951.524155,2669,893.3870968,585
19,Ambient,4,0.0995,7.9273,189.20626,4493.930233,3058,1092.1875,694
20,Ambient,4,0.105666667,10.331,92.25356309,4414.641509,3044,1044.591398,657
21,Ambient,4,0.09025,10.6995,17.19518962,4571.940529,2990,914.1052632,472
22,Ambient,4,0.081416667,17.6395,136.5815538,4432.889571,3032,774.5232558,529
23,Ambient,4,0.095083333,11.102,56.61632,4224.718593,2706,1250.507042,648
24,Ambient,4,0.096833333,14.4584,61.66849206,4537.306418,3102,1222.207921,748
25,Ambient,8,0.125,13.788,118.8544581,4617.141104,3079,1154.146789,759
26,Ambient,8,0.12675,6.4868,76.37502075,4690.921277,3114,1179.203883,735
27,Ambient,8,0.097333333,4.4361,50.53578842,3762.062099,2764,770.7101449,532
28,Ambient,8,0.105333333,9.83,142.6557851,4316.659091,3015,967.75,632
29,Ambient,8,0.125666667,3.6581,98.5136255,4007.368794,2757,1129.723404,726
30,Ambient,8,0.13715,7.927,71.59650217,3806.564706,2643,797.1204819,640
31,Drought,1,0.028833333,2.379,36.9361,4115.080899,2813,638.6304348,369
32,Drought,1,0.037666667,10.4124,44.9308,3906.080786,2648,860.0576923,454
33,Drought,1,0.037241667,0.6933,37.5025,3871.414784,2798,587.5283019,371
34,Drought,1,0.025083333,3.5439,76.8588,4126.020964,2838,560.9375,325
35,Drought,1,0.024916667,9.1577,66.1556,4463.002315,2931,768.038961,507
36,Drought,1,0.021166667,4.0161,14.01,4639.564961,3171,991.1632653,504
37,Drought,1,0.0305,17.3914,45.3927,4546.782816,2959,842.2894737,548
38,Drought,1,0.027583333,11.0204,49.74,4483.444444,3084,925.9873418,607
39,Drought,1,0.0315,7.0412,16.89,4513.45679,3070,699.9090909,486
40,Drought,1,0.040666667,9.8584,33.9313,4044.573684,2587,800.8352941,562
41,Drought,1,0.03325,5.0343,23.68,4603.944444,3077,1053.662651,648
42,Drought,1,0.044666667,10.3307,68.1855,3705.976242,2672,679.6153846,456
43,Drought,2,0.033583333,2.8333,63.81876948,4187.6,2793,815.559322,485
44,Drought,2,0.0365,2.7128,79.83035928,3960.421659,2737,721.9746835,465
45,Drought,2,0.03025,5.5752,85.19998008,3718.550725,2441,729.2459016,438
46,Drought,2,0.048166667,5.5291,7.3,4269.269058,2914,746.6133333,497
47,Drought,2,0.028583333,2.6661,102.01844,4133.682403,2846,676,403
48,Drought,2,0.022,4.245,73.62348,3961.252174,2748,710.2708333,411
49,Drought,4,0.02725,14.1069,71.97778443,3782.05,2493,704,517
50,Drought,4,0.032583333,9.3919,51.00447552,4107.475113,2777,838.125,472
51,Drought,4,0.035583333,9.3273,26.21521979,4395.663697,2937,962.5492958,545
52,Drought,4,0.043416667,9.1669,111.2563335,4448.772727,2921,885,525
53,Drought,4,0.038833333,12.2789,65.91393214,4158.156788,3015,940.0705882,568
54,Drought,4,0.025416667,12.6806,75.49432032,4572.944015,3198,711.1142857,460
55,Drought,8,0.029333333,13.8147,126.0144253,3884.743468,2594,887.0192308,477
56,Drought,8,0.036083333,15.4675,72.21441007,3780.766595,2681,1018.378788,543
57,Drought,8,0.029666667,11.6137,71.97065122,4322.769737,2973,879.7027027,530
58,Drought,8,0.028833333,14.4651,109.4217975,4216.409766,2954,872.1886792,466
59,Drought,8,0.036833333,13.5473,74.13872952,4680.67161,3131,1156.559322,599
60,Drought,8,0.028166667,12.0689,89.94871485,4397.14557,3013,902.962963,575